nombre,zona,tipo,unidad,stockActual,stockMinimo,stockMinimoFinDeSemana,leadTimeDias,diasAnticipacionAlerta,rendimientoPorLote,loteUnidad
HARINA PIZZERA,cocina,externo,kg,0,20,40,,,,
LEVADURA,cocina,externo,kg,0,2,4,,,,
AZUCAR,cocina,externo,kg,0,5,10,,,,
TOMATES FRESCOS,cocina,externo,kg,0,5,10,,,,
PIMIENTO FRESCO,cocina,externo,kg,0,3,6,,,,
AJO,cocina,externo,kg,0,2,4,,,,
TOCINO,cocina,externo,kg,0,3,6,,,,
QUESO PARMESANO,cocina,externo,kg,0,2,4,,,,
HUEVOS,cocina,externo,unidades,0,30,60,,,,
PAPEL PARA CAJAS DE PIZZA,salon,externo,paquetes,0,2,4,2,1,,
CREMERO PARA BURGUER,salon,externo,cientos,0,1,2,2,1,,
CREMERO PARA GUACAMOLE,salon,externo,cientos,0,1,2,2,1,,
CREMERO PARA ALITAS,salon,externo,cientos,0,1,2,2,1,,
TUPPER PARA ALITAS,salon,externo,unidades,0,50,100,7,2,,
TUPPER PARA PAPAS,salon,externo,unidades,0,50,100,7,2,,
TUPPER PARA LASAÑAS,salon,externo,unidades,0,30,60,7,2,,
TUPPER PARA POSTRE (TRIANGULAR),salon,externo,unidades,0,30,60,2,1,,
CUCHARAS PARA POSTRE,salon,externo,cientos,0,1,2,2,1,,
CUBIERTOS DESCARTABLES,salon,externo,cientos,0,1,2,2,1,,
VASOS DESCARTABLES,salon,externo,cientos,0,1,2,2,1,,
CINTA DE EMBALAJE / STICKERS,salon,externo,rollos,0,2,4,2,1,,
PAPEL TOALLA,salon,externo,rollos,0,4,8,2,1,,
LIQUIDO LAVAVAJILLAS,cocina,externo,litros,0,3,6,2,1,,
DESENGRASANTE INDUSTRIAL,cocina,externo,litros,0,2,4,2,1,,
LEJIA / CLORO,cocina,externo,litros,0,4,8,2,1,,
DETERGENTE,cocina,externo,kg,0,4,8,2,1,,
BOLSAS DE BASURA GIGANTES,cocina,externo,paquetes,0,2,4,2,1,,
ESPONJAS Y VIRUTAS,cocina,externo,unidades,0,6,12,2,1,,
POETT,cocina,externo,litros,0,3,6,2,1,,
PAPEL HIGIENICO,salon,externo,paquetes,0,2,4,2,1,,
JABON LIQUIDO,salon,externo,litros,0,2,4,2,1,,
